(8.7144628, 4.493301)
(8.7153694, 4.4905691)
(8.7158588, 4.4922914)
(8.7159463, 4.4727118)
(8.7161006, 4.4785863)
(8.7161976, 4.4723448)
(8.7162048, 4.4717078)
(8.7162864, 4.4716733)
(8.7163585, 4.4722586)
(8.7163799, 4.472319)
(8.7164158, 4.4722358)
(8.7164383, 4.472295)
(8.7164505, 4.4722007)
(8.7164956, 4.4723067)
(8.7165035, 4.4721773)
(8.7165221, 4.4725394)
(8.7165572, 4.4722777)
(8.7165425, 4.4721803)
(8.7165587, 4.4856872)
(8.7165729, 4.4722471)
(8.7166156, 4.4721649)
(8.7166376, 4.4722167)
(8.7167054, 4.4729387)
(8.7167389, 4.4721397)
(8.7168846, 4.4730467)
(8.7168859, 4.4910013)
(8.7170233, 4.4736797)
(8.7171017, 4.4739578)
(8.7171204, 4.4743305)
(8.7171674, 4.4738135)
(8.7171703, 4.4754758)
(8.7172088, 4.4740749)
(8.7172252, 4.4768811)
(8.7172283, 4.4745779)
(8.7172812, 4.4782865)
(8.7173312, 4.4792777)
(8.7173379, 4.4772851)
(8.7173702, 4.4803638)
(8.7173946, 4.4810653)
(8.7174585, 4.471718)
(8.7174799, 4.4813993)
(8.7174842, 4.4808725)
(8.7175549, 4.4812769)
(8.7176135, 4.4816968)
(8.7176938, 4.4816418)
(8.7178382, 4.4820071)
(8.7178692, 4.4818957)
(8.7179528, 4.4931235)
(8.7180198, 4.4896484)
(8.7180746, 4.4893189)
(8.7182562, 4.4824065)
(8.7182893, 4.4845027)
(8.7182996, 4.4843755)
(8.7183122, 4.4895099)
(8.7183548, 4.4838428)
(8.7183461, 4.4851198)
(8.7183989, 4.4824147)
(8.7184043, 4.4826952)
(8.7184268, 4.4825755)
(8.7184353, 4.4828129)
(8.7184461, 4.4833712)
(8.7184985, 4.4824775)
(8.718503, 4.4859637)
(8.7185138, 4.4829053)
(8.7185234, 4.4824642)
(8.7185914, 4.4829397)
(8.718605, 4.4824207)
(8.7186219, 4.486335)
(8.7186241, 4.4829542)
(8.7187254, 4.4824163)
(8.7187445, 4.4829498)
(8.7188357, 4.4824651)
(8.7188511, 4.482893)
(8.7189142, 4.4825576)
(8.7189227, 4.482795)
(8.7189452, 4.4826753)
(8.7191672, 4.4880047)
(8.7191757, 4.4879202)
(8.7191933, 4.4880854)
(8.7192156, 4.4819498)
(8.7192175, 4.4878465)
(8.7192497, 4.4881483)
(8.7192853, 4.4877964)
(8.7193264, 4.4881827)
(8.7193674, 4.4877785)
(8.7194104, 4.4881825)
(8.7194496, 4.487796)
(8.719487, 4.4881477)
(8.7195176, 4.4878457)
(8.719543, 4.4880845)
(8.7195598, 4.4879192)
(8.719562, 4.4816098)
(8.7195688, 4.4880036)
(8.719596, 4.4842844)
(8.7197558, 4.4836881)
(8.719656, 4.4847495)
(8.7198119, 4.481425)
(8.7200487, 4.4831198)
(8.7200687, 4.4812608)
(8.7197696, 4.4851765)
(8.7203082, 4.4811077)
(8.7205692, 4.4826142)
(8.7205954, 4.4826027)
(8.7206909, 4.4861652)
(8.7207235, 4.4809194)
(8.7208552, 4.4824887)
(8.7211587, 4.4860055)
(8.7211804, 4.4863553)
(8.7212688, 4.4860614)
(8.721316, 4.4879753)
(8.7213171, 4.4823875)
(8.7213232, 4.4856739)
(8.7213887, 4.480773)
(8.7213943, 4.4855833)
(8.7214333, 4.4857298)
(8.7214733, 4.4860117)
(8.7215027, 4.4856423)
(8.7215308, 4.4858987)
(8.7215661, 4.4852603)
(8.7215489, 4.4864224)
(8.7216746, 4.4853193)
(8.7216918, 4.4857036)
(8.7217652, 4.4855589)
(8.7217741, 4.4855643)
(8.7217848, 4.4855258)
(8.7217964, 4.4855328)
(8.7217974, 4.4861806)
(8.7218092, 4.4856878)
(8.7218444, 4.4823457)
(8.7218456, 4.4856262)
(8.7218549, 4.4860676)
(8.7218583, 4.4856338)
(8.7218663, 4.4855874)
(8.7218691, 4.4858107)
(8.7218707, 4.485407)
(8.7218805, 4.4855961)
(8.7219042, 4.4855233)
(8.7219069, 4.4857468)
(8.7219269, 4.4858407)
(8.7219658, 4.4857683)
(8.7219962, 4.4855789)
(8.7220379, 4.4855081)
(8.7220482, 4.4855968)
(8.7220599, 4.48582)
(8.7220806, 4.4857463)
(8.7220833, 4.4855313)
(8.7220952, 4.4857543)
(8.7220981, 4.4859348)
(8.7221013, 4.4857077)
(8.7221021, 4.4807451)
(8.7221143, 4.4857148)
(8.7221444, 4.4871116)
(8.7220884, 4.4864841)
(8.7221481, 4.4856517)
(8.7221672, 4.485806)
(8.7221791, 4.4858126)
(8.7221883, 4.4857736)
(8.7221973, 4.4857786)
(8.7222076, 4.4869621)
(8.7222168, 4.4869668)
(8.7222249, 4.4869277)
(8.7222369, 4.4869338)
(8.7222604, 4.4870876)
(8.7222648, 4.4856311)
(8.7222925, 4.4870235)
(8.7223023, 4.4868031)
(8.7223056, 4.4870302)
(8.7223104, 4.4869834)
(8.7223252, 4.486991)
(8.7223287, 4.4872059)
(8.7223438, 4.4869167)
(8.7223619, 4.4871395)
(8.7223665, 4.4872358)
(8.7223896, 4.4861951)
(8.7224003, 4.4871608)
(8.7224054, 4.4807642)
(8.7224394, 4.4869657)
(8.7224416, 4.4860982)
(8.7224682, 4.4825305)
(8.7224709, 4.486984)
(8.7224762, 4.4868922)
(8.7224978, 4.4872059)
(8.7225015, 4.4869163)
(8.7225134, 4.4871309)
(8.7225285, 4.4871379)
(8.7225314, 4.4870909)
(8.7225437, 4.4873177)
(8.7225439, 4.4859293)
(8.7225448, 4.4870971)
(8.7225743, 4.4870318)
(8.7226039, 4.4871845)
(8.7226074, 4.4858181)
(8.7226162, 4.4871901)
(8.7226214, 4.4857998)
(8.7226227, 4.4871507)
(8.7226321, 4.487155)
(8.7226743, 4.4857037)
(8.7226893, 4.4870031)
(8.7227089, 4.4863702)
(8.7227207, 4.4867174)
(8.7227608, 4.4862732)
(8.7228583, 4.486113)
(8.7229218, 4.4860018)
(8.7229346, 4.4859761)
(8.7229632, 4.4828749)
(8.7229539, 4.4840244)
(8.7229875, 4.48588)
(8.7230465, 4.4806126)
(8.7230506, 4.4838945)
(8.7230584, 4.4839013)
(8.7230722, 4.484029)
(8.7230754, 4.4838652)
(8.7230857, 4.4838741)
(8.7231106, 4.4841605)
